                Time          Cycles PC       Instr    Mnemonic
                4501               3 0000000a 00800013 addi             x0, x0, 8          
              104501             103 00000198 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              105501             104 0000019c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              106501             105 000001a0 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              107501             106 000001a4 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              108501             107 000001a8 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              109501             108 000001ac 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              110501             109 000001b0 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              111501             110 000001b4 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              112501             111 000001b8 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              113501             112 000001bc 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              114501             113 000001c0 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              115501             114 000001c4 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              116501             115 000001c8 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              117501             116 000001cc 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              118501             117 000001d0 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              119501             118 000001d4 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              120501             119 000001d8 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              121501             120 000001dc 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              122501             121 000001e0 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              123501             122 000001e4 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              124501             123 000001e8 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              125501             124 000001ec 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              126501             125 000001f0 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
